pond_id,culture_system,water_source,aeration_class,stocking_density_class,water_temperature_c,ph,do_min_night_mg_l,do_max_day_mg_l,salinity_ppt,ammonia_mg_l,nitrite_mg_l,alkalinity_mg_l,turbidity_index,avg_body_weight_g,biomass_density_kg_m2,feed_input_kg_day,fcr,survival_pct,daily_mortality_count,behavioral_stress_index,gut_condition_score,molting_irregularity_flag,growth_deviation_index,disease_risk_level,suspected_condition,treatment_applied,treatment_intensity_class,treatment_response_score,crop_health_status,harvest_viability_flag,economic_risk_index
111,Semi-intensive,Reservoir,Medium,Medium,26.42,8.33,2.93,5.86,9.5,0.342,0.156,129.6,54.5,23.18,2.15,146.3,1.6,74.3,3,3,1,0,1.3,Moderate,Growth Retardation,None,1,0.46,Stable,0,0.26
134,Intensive,Reservoir,High,Low,31.1,7.55,4.83,7.16,21.3,0.19,0.644,118.7,36.4,24.2,1.56,165.8,1.74,89.0,0,3,8,0,0.72,Low,Growth Retardation,None,2,0.51,Stressed,1,0.48
145,Intensive,Reservoir,Medium,High,28.81,8.16,3.42,6.74,26.6,0.332,0.394,150.2,26.7,11.58,1.96,91.1,1.6,61.4,7,6,5,0,1.33,High,Growth Retardation,Probiotic,1,0.42,Failing,0,0.47
190,Intensive,Reservoir,Low,High,27.25,8.26,4.34,6.32,21.9,0.149,0.972,172.4,22.8,23.64,0.66,111.3,1.67,84.2,7,8,1,0,0.75,Moderate,Multifactorial,Carbon Dosing,2,0.93,Failing,1,0.31
155,Semi-intensive,Reservoir,Low,Medium,29.96,7.65,4.05,7.59,21.6,0.176,0.731,121.9,45.6,15.1,1.28,174.9,1.61,71.1,4,6,1,0,1.33,Low,Parasitic Stress,None,4,0.65,Stressed,1,0.59
79,Intensive,Reservoir,Medium,High,27.87,7.88,2.82,6.4,7.2,0.265,0.558,88.8,30.1,12.37,0.7,148.9,1.74,69.6,1,1,3,0,0.94,Moderate,Bacterial Load,None,3,0.49,Failing,1,0.58
76,Intensive,Reservoir,Low,Medium,30.49,7.83,4.81,7.92,13.0,0.185,0.454,106.4,57.7,24.88,1.89,60.3,2.33,89.4,0,2,7,0,1.36,Low,Growth Retardation,Probiotic,2,0.66,Failing,1,0.33
22,Semi-intensive,Borewell,Medium,High,27.19,8.03,3.08,6.9,26.2,0.232,0.485,171.4,44.5,27.79,0.79,165.2,2.22,68.1,2,9,6,1,1.26,Low,Parasitic Stress,None,2,0.68,Stable,1,0.46
271,Semi-intensive,Reservoir,Low,Low,28.01,8.46,3.53,5.69,14.8,0.246,0.28,142.6,43.1,25.79,2.1,145.3,1.84,72.6,1,6,7,1,1.34,Low,Parasitic Stress,Probiotic,1,0.33,Failing,0,0.73
60,Biofloc,Borewell,Medium,High,26.24,7.5,5.22,5.72,22.0,0.112,0.422,128.1,40.5,18.89,1.55,166.1,2.01,74.5,4,1,1,0,0.89,Low,Multifactorial,Carbon Dosing,3,0.83,Failing,1,0.61
